"No.","Time","AbsTime","Source","Destination","Protocol","Length","Info"
"802","9.725342935","12:26:46.144107521","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1136 Ack=17308 Win=8326 Len=10 TSval=454412 TSecr=1542833942"
"809","9.825373345","12:26:46.244137931","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1146 Ack=17433 Win=8326 Len=10 TSval=454421 TSecr=1542834042"
"816","9.925335081","12:26:46.344099667","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1156 Ack=17555 Win=8326 Len=10 TSval=454430 TSecr=1542834142"
"823","10.025362585","12:26:46.444127171","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1166 Ack=17676 Win=8326 Len=10 TSval=454439 TSecr=1542834242"
"836","10.125355984","12:26:46.544120570","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1176 Ack=17796 Win=8326 Len=10 TSval=454448 TSecr=1542834343"
"843","10.225345415","12:26:46.644110001","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1186 Ack=17913 Win=8326 Len=10 TSval=454457 TSecr=1542834442"
"852","10.325351569","12:26:46.744116155","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1196 Ack=18034 Win=8326 Len=10 TSval=454466 TSecr=1542834542"
"859","10.425346248","12:26:46.844110834","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1206 Ack=18160 Win=8326 Len=10 TSval=454475 TSecr=1542834642"
"866","10.525322928","12:26:46.944087514","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1216 Ack=18281 Win=8326 Len=10 TSval=454484 TSecr=1542834742"
"877","10.625376648","12:26:47.044141234","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1236 Ack=18864 Win=8326 Len=10 TSval=454493 TSecr=1542834842"
"884","10.725333577","12:26:47.144098163","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1246 Ack=18985 Win=8326 Len=10 TSval=454502 TSecr=1542834942"
"891","10.825364129","12:26:47.244128715","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1256 Ack=19110 Win=8326 Len=10 TSval=454511 TSecr=1542835042"
"900","10.925479801","12:26:47.344244387","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1279 Ack=19413 Win=8326 Len=10 TSval=454520 TSecr=1542835205"
