"No.","Time","AbsTime","Source","Destination","Protocol","Length","Info"
"744","9.026946508","12:26:45.445711094","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=15999 Ack=1066 Win=541 Len=120 TSval=1542833343 TSecr=454349"
"757","9.127012376","12:26:45.545776962","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=16119 Ack=1076 Win=540 Len=117 TSval=1542833443 TSecr=454358"
"764","9.226857888","12:26:45.645622474","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=16236 Ack=1086 Win=540 Len=121 TSval=1542833542 TSecr=454367"
"773","9.326986370","12:26:45.745750956","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=16357 Ack=1096 Win=540 Len=126 TSval=1542833642 TSecr=454376"
"780","9.426938587","12:26:45.845703173","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=16483 Ack=1106 Win=540 Len=121 TSval=1542833742 TSecr=454385"
"787","9.526891717","12:26:45.945656303","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=16604 Ack=1116 Win=540 Len=116 TSval=1542833843 TSecr=454394"
"798","9.626898755","12:26:46.045663341","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=17187 Ack=1136 Win=540 Len=121 TSval=1542833942 TSecr=454403"
"805","9.726893010","12:26:46.145657596","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=17308 Ack=1146 Win=540 Len=125 TSval=1542834042 TSecr=454412"
"812","9.826905281","12:26:46.245669867","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=17433 Ack=1156 Win=540 Len=122 TSval=1542834142 TSecr=454421"
"819","9.926638758","12:26:46.345403344","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=17555 Ack=1166 Win=540 Len=121 TSval=1542834242 TSecr=454430"
"826","10.027149348","12:26:46.445913934","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=17676 Ack=1176 Win=540 Len=120 TSval=1542834343 TSecr=454439"
"839","10.126634938","12:26:46.545399524","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=17796 Ack=1186 Win=540 Len=117 TSval=1542834442 TSecr=454448"
